Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh,newStrat_rankMA50,newStrat_rankMA200
0850,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$56260,True,6.28%,-38.54%,0.16,25.27,171,40.35%,3.33%,24.69%,11.12%,134.74,58.32,1.40,19.38%,0.63,96.37%,123.00%,96.63%,126.64%,44.53%,13.06%,5.35%,0.00%,0.00%,-38.54%,-23.86%,-18.12%,-22.58%,-26.12%,0.28,0.23,175,250,8,0.035,50,200
0851,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$46412,True,5.33%,-39.17%,0.14,24.76,145,44.14%,3.60%,23.77%,12.34%,151.03,72.80,1.40,19.65%,0.55,95.54%,124.91%,95.81%,127.00%,55.16%,15.77%,5.91%,0.00%,0.00%,-39.17%,-26.92%,-20.71%,-21.71%,-23.21%,0.25,0.18,225,225,9,0.035,50,200
0852,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$16132,True,2.24%,-23.40%,0.10,12.4,179,46.93%,0.96%,10.11%,7.13%,117.63,57.05,1.22,11.80%,0.34,91.86%,115.48%,92.31%,120.77%,19.41%,6.09%,2.37%,0.00%,0.00%,-23.40%,-21.64%,-6.57%,-10.75%,-12.14%,0.21,0.13,225,225,9,0.02,50,200
0853,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$114408,True,11.24%,-53.56%,0.21,33.13,126,45.24%,8.35%,40.60%,18.30%,178.44,77.77,1.56,32.99%,0.73,100.79%,138.38%,100.93%,143.21%,56.26%,16.04%,17.52%,0.00%,0.00%,-53.56%,-51.76%,-40.30%,-28.04%,-29.80%,0.40,0.23,225,200,8,0.05,50,200
0854,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$62734,True,7.06%,-35.94%,0.20,15.38,164,45.12%,3.73%,23.45%,12.49%,137.18,61.03,1.36,21.75%,0.63,96.65%,122.59%,96.87%,125.67%,4.15%,1.36%,3.97%,0.00%,0.00%,-35.94%,-31.42%,-23.48%,-12.92%,-12.19%,0.55,0.23,175,200,9,0.04,50,200
0855,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$62528,True,6.82%,-42.00%,0.16,20.26,138,45.65%,4.39%,26.61%,14.27%,163.02,73.65,1.43,20.72%,0.66,100.92%,128.57%,101.19%,136.64%,34.47%,10.38%,2.61%,0.00%,0.00%,-42.00%,-35.98%,-25.04%,-17.39%,-17.28%,0.39,0.20,250,250,10,0.035,50,200
0856,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$145482,True,13.34%,-50.32%,0.27,27.57,119,46.22%,9.19%,40.78%,17.96%,191.36,80.16,1.77,30.60%,0.86,102.93%,134.91%,103.08%,144.08%,78.67%,21.34%,16.44%,0.00%,0.00%,-50.32%,-48.04%,-33.47%,-23.45%,-24.40%,0.57,0.30,250,250,12,0.05,50,200
0857,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$55779,True,6.41%,-41.97%,0.15,25.21,204,42.65%,3.09%,26.72%,14.49%,115.09,50.18,1.25,26.82%,0.55,101.01%,141.12%,101.23%,146.22%,39.74%,11.80%,7.45%,0.00%,0.00%,-41.97%,-39.49%,-24.52%,-22.09%,-23.74%,0.29,0.18,150,225,9,0.045,50,200
0858,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$14714,True,2.07%,-24.64%,0.08,12.6,230,45.65%,0.79%,9.48%,6.51%,94.50,44.06,1.17,10.56%,0.35,91.79%,115.61%,92.30%,117.68%,29.47%,8.99%,1.01%,0.00%,0.00%,-24.64%,-17.39%,-5.58%,-10.87%,-10.60%,0.19,0.13,150,150,11,0.02,50,200
0859,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$28757,True,3.71%,-24.29%,0.15,13.47,165,50.30%,1.80%,10.77%,7.28%,118.72,66.07,1.42,12.35%,0.51,92.86%,114.97%,93.32%,118.21%,24.50%,7.58%,5.53%,0.00%,0.00%,-24.29%,-22.69%,-6.70%,-11.64%,-14.25%,0.32,0.21,250,225,9,0.02,50,200
0860,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$250369,True,18.99%,-47.23%,0.40,27.25,141,41.13%,11.72%,51.88%,16.35%,166.60,70.64,2.16,32.80%,1.08,101.28%,141.57%,101.44%,148.43%,157.28%,37.03%,25.85%,0.00%,0.00%,-47.23%,-45.30%,-40.36%,-22.36%,-23.30%,0.85,0.43,200,150,8,0.05,50,200
0861,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$116895,True,11.35%,-35.67%,0.32,17.23,148,41.89%,6.99%,35.44%,13.52%,159.42,68.38,1.61,24.42%,0.88,101.88%,142.04%,102.08%,145.81%,24.14%,7.47%,11.49%,0.00%,0.00%,-35.67%,-32.99%,-28.98%,-14.03%,-13.12%,0.81,0.35,200,150,8,0.04,50,200
0862,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$28041,True,3.50%,-24.03%,0.15,13.53,188,48.94%,1.55%,10.80%,7.31%,109.35,54.73,1.39,11.40%,0.53,91.98%,118.49%,92.47%,121.23%,43.01%,12.67%,5.29%,0.00%,0.00%,-24.03%,-16.33%,-10.69%,-11.57%,-12.79%,0.30,0.21,200,250,10,0.02,50,200
0863,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$54012,True,6.21%,-17.58%,0.35,7.66,200,46.50%,2.43%,10.23%,4.35%,109.55,44.80,1.93,8.43%,1.13,86.98%,115.80%,87.49%,117.54%,32.15%,9.74%,3.90%,0.00%,0.00%,-17.58%,-16.49%,-6.79%,-5.61%,-3.63%,1.11,0.46,200,250,10,0.015,50,200
0864,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$36318,True,4.48%,-15.82%,0.28,7.3,199,43.72%,1.76%,9.50%,4.25%,114.91,43.33,1.62,8.00%,0.86,85.49%,114.73%,85.98%,116.72%,18.44%,5.80%,1.85%,0.00%,0.00%,-15.82%,-13.50%,-8.91%,-5.70%,-4.51%,0.79,0.35,225,225,12,0.015,50,200
0865,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$29259,True,3.71%,-17.40%,0.21,7.99,252,42.86%,1.19%,8.27%,4.11%,96.94,31.88,1.41,8.05%,0.71,85.92%,107.32%,86.43%,108.09%,15.93%,5.05%,0.36%,0.00%,0.00%,-17.40%,-15.86%,-9.75%,-5.98%,-4.07%,0.62,0.26,150,200,10,0.015,50,200
0866,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$31688,True,3.98%,-16.20%,0.25,7.49,252,40.48%,1.27%,8.80%,3.85%,99.74,31.85,1.45,8.00%,0.76,85.38%,108.00%,85.89%,108.82%,16.39%,5.19%,0.45%,0.00%,0.00%,-16.20%,-14.65%,-10.02%,-5.64%,-4.02%,0.71,0.29,150,200,12,0.015,50,200
0867,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$56268,True,6.47%,-33.07%,0.20,17.12,162,45.68%,3.67%,19.74%,9.84%,127.30,64.03,1.58,16.50%,0.69,92.89%,122.14%,93.24%,123.28%,73.79%,20.23%,6.77%,0.00%,0.00%,-33.07%,-24.64%,-10.19%,-14.02%,-14.06%,0.46,0.29,200,200,8,0.03,50,200
0868,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$30217,True,3.80%,-42.97%,0.09,20.67,131,43.51%,2.35%,27.50%,17.03%,168.77,79.34,1.20,23.19%,0.41,102.07%,139.78%,102.29%,146.70%,14.72%,4.68%,1.34%,0.00%,0.00%,-42.97%,-28.24%,-22.40%,-18.15%,-17.49%,0.21,0.12,250,200,11,0.04,50,200
0869,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$30217,True,3.80%,-42.97%,0.09,20.67,131,43.51%,2.35%,27.50%,17.03%,168.77,79.34,1.20,23.19%,0.41,102.07%,139.78%,102.29%,146.70%,14.72%,4.68%,1.34%,0.00%,0.00%,-42.97%,-28.24%,-22.40%,-18.15%,-17.49%,0.21,0.12,250,225,11,0.04,50,200
