Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh,newStrat_rankMA50,newStrat_rankMA200
0513,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$34897395,True,25.42%,-52.63%,0.48,20.6,305,50.82%,32.45%,82.25%,19.01%,256.92,97.98,1.94,24.72%,1.60,101.00%,146.15%,101.04%,169.46%,37.47%,11.19%,3.65%,13.33%,8.70%,-52.63%,-46.16%,-44.70%,-15.74%,-13.40%,1.62,0.53,250,250,10,0.05,62,170
0512,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$64056990,True,28.25%,-45.02%,0.63,14.92,412,49.27%,19.50%,55.40%,15.37%,191.98,69.00,2.85,23.60%,1.79,100.51%,134.48%,100.55%,140.89%,99.43%,25.87%,24.64%,27.48%,17.57%,-45.02%,-38.43%,-34.18%,-11.41%,-9.54%,2.48,0.72,175,250,10,0.05,62,170
0511,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$64056990,True,28.25%,-45.02%,0.63,14.92,412,49.27%,19.50%,55.40%,15.37%,191.98,69.00,2.85,23.60%,1.79,100.51%,134.48%,100.55%,140.89%,99.43%,25.87%,24.64%,27.48%,17.57%,-45.02%,-38.43%,-34.18%,-11.41%,-9.54%,2.48,0.72,175,175,10,0.05,62,170
0510,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$35007455,True,25.31%,-35.93%,0.70,14.29,372,50.81%,20.26%,54.40%,14.99%,208.03,73.20,2.27,21.47%,1.78,98.73%,129.73%,98.79%,144.22%,59.38%,16.81%,7.62%,17.00%,11.03%,-35.93%,-33.28%,-32.12%,-10.94%,-9.19%,2.31,0.75,200,175,10,0.045,47,170
0509,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$53950980,True,27.55%,-47.55%,0.58,18.1,305,52.46%,34.36%,81.43%,17.59%,261.43,91.91,2.29,23.88%,1.78,101.03%,133.59%,101.07%,158.40%,53.38%,15.32%,5.58%,16.38%,10.64%,-47.55%,-41.51%,-40.96%,-13.60%,-11.25%,2.03,0.64,250,175,9,0.045,47,240
0508,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$8396342,True,18.72%,-32.03%,0.58,10.51,343,54.81%,17.45%,38.66%,8.28%,227.38,69.25,2.94,12.70%,2.21,92.65%,126.64%,92.80%,132.60%,39.40%,11.71%,6.64%,7.53%,4.96%,-32.03%,-23.70%,-22.46%,-7.25%,-3.99%,2.58,0.72,250,250,12,0.02,47,240
0507,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$10113511,True,19.49%,-31.45%,0.62,10.33,444,52.70%,13.41%,32.67%,8.06%,176.98,49.64,2.47,12.25%,2.47,91.93%,126.23%,92.10%,132.48%,26.62%,8.19%,6.41%,9.51%,6.24%,-31.45%,-23.31%,-18.12%,-6.92%,-4.02%,2.82,0.80,175,250,12,0.02,47,240
0506,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$87072186,True,29.76%,-24.77%,1.20,8.25,401,53.12%,22.92%,52.84%,10.97%,198.68,57.44,2.48,17.17%,2.57,96.71%,127.24%,96.80%,133.88%,20.14%,6.31%,9.32%,17.51%,11.36%,-24.77%,-24.26%,-23.48%,-5.81%,-3.97%,5.12,1.23,175,250,12,0.03,62,240
0505,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$87072186,True,29.76%,-24.77%,1.20,8.25,401,53.12%,22.92%,52.84%,10.97%,198.68,57.44,2.48,17.17%,2.57,96.71%,127.24%,96.80%,133.88%,20.14%,6.31%,9.32%,17.51%,11.36%,-24.77%,-24.26%,-23.48%,-5.81%,-3.97%,5.12,1.23,175,225,12,0.03,62,240
0504,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$61371123,True,28.03%,-27.12%,1.03,9.59,416,53.37%,21.07%,49.83%,11.85%,190.51,55.58,2.32,17.42%,2.39,96.94%,126.24%,97.05%,133.74%,14.27%,4.55%,8.41%,16.32%,10.61%,-27.12%,-26.37%,-24.43%,-6.77%,-4.34%,4.14,1.08,175,200,9,0.03,62,240
