Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh
0625,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 53589219,TRUE,27.49%,-62.97%,0.44,22.66,313,46.33%,32.67%,91.45%,18.05%,270.98,91.43,2.41,27.99%,1.54,103.74%,154.97%,103.74%,206.01%,75.07%,20.52%,9.23%,20.88%,13.48%,-62.97%,-40.91%,-37.89%,-17.54%,-14.88%,1.57,0.58,250,250,12,0.055
0624,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 65017814,TRUE,28.34%,-56.86%,0.5,21.28,351,44.16%,30.40%,89.94%,16.68%,259.02,77.3,2.07,27.29%,1.61,102.71%,153.37%,102.71%,182.93%,48.18%,14.01%,5.70%,20.32%,13.12%,-56.86%,-40.52%,-39.02%,-16.59%,-15.08%,1.71,0.62,225,250,12,0.055
0623,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 46788915,TRUE,26.73%,-50.34%,0.53,17.23,382,45.03%,25.84%,75.95%,15.21%,224.66,67.3,2.06,26.94%,1.55,101.06%,153.06%,101.07%,165.75%,48.24%,14.02%,8.73%,19.90%,12.86%,-50.34%,-39.33%,-38.67%,-13.70%,-13.06%,1.95,0.62,200,250,12,0.055
0622,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 85563421,TRUE,29.70%,-46.80%,0.63,16.11,456,42.76%,22.53%,71.33%,13.93%,201.17,52.88,1.77,25.77%,1.75,100.19%,146.09%,100.20%,154.27%,52.26%,15.04%,8.49%,19.91%,12.87%,-46.80%,-43.56%,-42.06%,-12.28%,-10.44%,2.42,0.67,175,250,12,0.055
0621,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6721,AUD 62293558,TRUE,28.13%,-50.88%,0.55,19.85,520,40.58%,17.42%,62.56%,13.40%,177.94,50.48,1.79,26.14%,1.62,99.05%,149.03%,99.05%,162.29%,76.11%,20.76%,9.77%,19.32%,12.50%,-50.88%,-50.17%,-39.32%,-15.56%,-14.87%,1.81,0.6,150,250,12,0.055
0620,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 27432179,TRUE,24.24%,-65.67%,0.37,25.24,313,46.65%,29.21%,84.55%,19.18%,265.33,94.92,2.46,27.93%,1.4,102.20%,154.56%,102.21%,189.77%,96.48%,25.25%,11.24%,21.65%,13.96%,-65.67%,-46.82%,-40.74%,-20.12%,-18.11%,1.2,0.47,250,225,12,0.055
0619,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 24370427,TRUE,23.60%,-57.78%,0.41,21.47,354,44.07%,22.67%,72.77%,16.80%,247.28,81.72,2.15,26.41%,1.41,101.61%,157.68%,101.63%,174.15%,57.76%,16.41%,10.29%,20.54%,13.26%,-57.78%,-42.96%,-42.90%,-16.75%,-14.87%,1.41,0.49,225,225,12,0.055
0618,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 61823827,TRUE,28.10%,-58.25%,0.48,23.28,383,46.21%,27.09%,76.67%,15.51%,218.32,70.24,2.62,27.74%,1.58,99.93%,142.86%,99.94%,180.01%,83.77%,22.49%,16.66%,23.05%,14.83%,-58.25%,-42.50%,-39.76%,-18.10%,-16.41%,1.55,0.6,200,225,12,0.055
0617,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 73189592,TRUE,28.93%,-56.28%,0.51,19.45,449,43.21%,20.82%,67.31%,14.54%,199.94,58.27,1.75,26.64%,1.66,99.63%,141.26%,99.65%,161.72%,24.97%,7.71%,6.21%,19.30%,12.48%,-56.28%,-46.87%,-37.30%,-15.02%,-13.61%,1.93,0.62,175,225,12,0.055
0616,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 80360726,TRUE,29.36%,-57.80%,0.51,21.92,512,41.21%,18.67%,65.50%,14.15%,179.27,51.87,1.78,26.98%,1.65,99.65%,149.17%,99.66%,181.33%,52.16%,15.02%,9.17%,27.16%,17.37%,-57.80%,-45.44%,-38.56%,-17.02%,-15.00%,1.72,0.62,150,225,12,0.055
0615,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 56074153,TRUE,27.71%,-60.93%,0.45,23.13,304,50.33%,34.23%,87.99%,20.25%,263.26,94.27,2.3,28.23%,1.53,103.60%,151.75%,103.61%,183.74%,60.70%,17.13%,13.65%,26.90%,17.21%,-60.93%,-43.77%,-41.64%,-18.63%,-17.62%,1.49,0.57,250,200,12,0.055
0614,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 27242725,TRUE,24.13%,-58.38%,0.41,22.93,342,46.49%,23.45%,71.13%,17.98%,250.78,81.72,2.17,25.99%,1.47,99.91%,146.37%,99.93%,169.30%,39.50%,11.74%,8.51%,23.32%,15.00%,-58.38%,-46.76%,-46.59%,-18.21%,-16.15%,1.33,0.48,225,200,12,0.055
0613,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 107020738,TRUE,30.83%,-55.75%,0.55,22.75,361,47.09%,28.05%,77.39%,15.86%,233.03,74.31,2.17,26.46%,1.77,99.64%,141.56%,99.65%,174.40%,36.70%,10.98%,10.88%,28.13%,17.97%,-55.75%,-48.66%,-42.13%,-17.89%,-16.90%,1.72,0.63,200,200,12,0.055
0612,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 80285063,TRUE,29.39%,-61.24%,0.48,20.4,420,46.19%,21.80%,65.65%,15.85%,199.12,64.57,1.77,26.55%,1.69,99.69%,145.38%,99.71%,183.16%,-0.74%,-0.25%,6.62%,23.00%,14.80%,-61.24%,-46.89%,-38.92%,-15.69%,-14.32%,1.87,0.6,175,200,12,0.055
0611,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 235213605,TRUE,34.81%,-54.87%,0.63,21.44,488,43.85%,23.47%,71.76%,14.24%,183.14,52.51,1.95,27.32%,1.88,100.03%,142.28%,100.04%,171.02%,72.82%,20.00%,16.18%,29.33%,18.71%,-54.87%,-49.67%,-39.51%,-16.43%,-14.91%,2.12,0.73,150,200,12,0.055
0610,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 28795146,TRUE,24.50%,-62.51%,0.39,25.17,300,48.67%,31.23%,84.51%,19.29%,268.07,98.91,2.22,26.92%,1.46,101.64%,157.79%,101.66%,191.21%,65.95%,18.39%,4.64%,17.73%,11.50%,-62.51%,-47.28%,-46.30%,-20.22%,-19.19%,1.21,0.47,250,175,12,0.055
0609,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 25819552,TRUE,23.85%,-62.54%,0.38,24.2,340,46.47%,21.97%,68.70%,18.61%,245.69,87.38,1.94,26.62%,1.44,100.91%,153.16%,100.94%,177.30%,-5.89%,-2.00%,9.62%,17.19%,11.16%,-62.54%,-57.72%,-43.11%,-18.67%,-15.87%,1.28,0.44,225,175,12,0.055
0608,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 122012576,TRUE,31.46%,-61.86%,0.51,21.64,351,46.15%,27.93%,79.26%,16.07%,234.58,76.57,2.34,26.64%,1.78,99.22%,134.65%,99.24%,174.58%,24.24%,7.50%,16.52%,25.36%,16.26%,-61.86%,-39.37%,-35.88%,-16.24%,-13.48%,1.94,0.69,200,175,12,0.055
0607,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 69754325,TRUE,28.67%,-62.28%,0.46,22.29,422,47.87%,20.58%,61.20%,16.72%,193.05,64.1,1.88,27.03%,1.63,99.88%,147.94%,99.92%,174.84%,21.41%,6.68%,8.20%,22.15%,14.27%,-62.28%,-49.28%,-39.68%,-16.65%,-13.10%,1.72,0.57,175,175,12,0.055
0606,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 135981305,TRUE,31.97%,-56.82%,0.56,22.42,495,48.69%,19.98%,57.45%,15.56%,165.87,53.15,1.92,26.92%,1.76,100.00%,142.06%,100.03%,168.18%,79.83%,21.61%,15.71%,25.64%,16.43%,-56.82%,-42.77%,-42.43%,-17.50%,-15.74%,1.83,0.68,150,175,12,0.055
0605,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 99690035,TRUE,30.59%,-64.79%,0.47,25.06,302,49.01%,45.45%,113.78%,20.22%,265.69,99.88,2.38,29.30%,1.62,102.44%,161.64%,102.46%,185.62%,70.50%,19.46%,9.56%,21.71%,14.00%,-64.79%,-49.22%,-41.51%,-19.60%,-17.10%,1.56,0.59,250,150,12,0.055
0604,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 44041684,TRUE,26.42%,-66.06%,0.4,26.2,335,48.36%,25.25%,72.60%,19.09%,243.93,87.46,2.21,27.06%,1.53,100.40%,152.56%,100.42%,183.70%,23.91%,7.41%,19.44%,26.21%,16.79%,-66.06%,-54.90%,-37.58%,-19.89%,-15.65%,1.33,0.5,225,150,12,0.055
0603,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 69069200,TRUE,28.63%,-69.07%,0.41,26.78,358,47.49%,24.97%,71.95%,17.51%,222.94,80.36,2.11,27.44%,1.61,99.51%,142.17%,99.53%,190.16%,17.28%,5.46%,13.98%,23.91%,15.37%,-69.07%,-45.74%,-36.63%,-20.39%,-18.11%,1.4,0.57,200,150,12,0.055
0602,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 51879479,TRUE,27.22%,-48.25%,0.56,19.87,426,48.12%,19.36%,59.27%,17.66%,188.88,65.67,2.35,26.26%,1.63,100.38%,139.66%,100.42%,150.55%,75.07%,20.52%,29.42%,26.93%,17.23%,-48.25%,-40.00%,-36.76%,-15.49%,-13.51%,1.76,0.65,175,150,12,0.055
0601,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 202557398,TRUE,34.01%,-52.42%,0.65,21.29,479,46.76%,22.70%,66.97%,16.20%,172.5,56.69,1.89,27.92%,1.82,100.81%,150.78%,100.84%,158.79%,53.05%,15.24%,22.68%,29.13%,18.58%,-52.42%,-46.99%,-42.91%,-16.50%,-14.03%,2.06,0.72,150,150,12,0.055
0600,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 50283991,TRUE,27.17%,-62.97%,0.43,22.3,316,46.52%,32.15%,90.14%,18.28%,269.55,90.01,2.2,28.10%,1.52,103.92%,154.97%,103.93%,206.01%,68.52%,19.00%,6.52%,18.14%,11.76%,-62.97%,-48.29%,-37.88%,-17.50%,-15.92%,1.55,0.55,250,250,11,0.055
0599,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 59955661,TRUE,27.94%,-56.86%,0.49,22.22,355,43.66%,29.98%,90.22%,16.71%,259.25,75.2,1.9,27.09%,1.61,102.63%,153.11%,102.63%,182.93%,38.12%,11.36%,1.83%,18.25%,11.83%,-56.86%,-43.83%,-41.30%,-17.48%,-16.02%,1.6,0.59,225,250,11,0.055
0598,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 56910927,TRUE,27.68%,-50.33%,0.55,16.84,380,45.00%,26.69%,77.77%,15.10%,228.78,66.54,2.05,27.10%,1.59,101.43%,155.28%,101.43%,165.61%,40.73%,12.06%,8.09%,20.22%,13.06%,-50.33%,-40.67%,-39.62%,-13.20%,-12.08%,2.1,0.64,200,250,11,0.055
0597,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 115103135,TRUE,31.19%,-46.81%,0.67,15.19,460,43.26%,23.00%,71.09%,13.67%,199.01,51.33,1.83,26.04%,1.8,100.12%,149.05%,100.13%,154.29%,29.59%,9.03%,14.86%,23.52%,15.12%,-46.81%,-43.56%,-40.33%,-11.42%,-9.21%,2.73,0.72,175,250,11,0.055
0596,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6721,AUD 118168395,TRUE,31.32%,-50.84%,0.62,17.79,519,39.50%,19.12%,68.46%,13.10%,184.23,49.53,1.87,26.30%,1.77,100.33%,143.80%,100.33%,162.34%,88.90%,23.62%,14.79%,23.73%,15.25%,-50.84%,-47.12%,-37.99%,-13.76%,-12.52%,2.28,0.69,150,250,11,0.055
0595,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 25981368,TRUE,23.98%,-66.23%,0.36,26.68,312,47.44%,29.01%,82.47%,19.25%,266.03,93.41,2.36,28.06%,1.38,102.25%,155.42%,102.26%,194.20%,97.42%,25.45%,6.64%,20.34%,13.14%,-66.23%,-50.89%,-46.49%,-21.60%,-20.81%,1.11,0.44,250,225,11,0.055
0594,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 26684093,TRUE,24.03%,-57.78%,0.42,21.09,357,45.38%,22.76%,70.74%,17.11%,242.22,80.85,2.16,26.51%,1.44,101.55%,155.73%,101.57%,173.43%,55.74%,15.91%,9.38%,20.21%,13.06%,-57.78%,-42.96%,-42.44%,-16.51%,-14.81%,1.46,0.5,225,225,11,0.055
0593,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 100516979,TRUE,30.51%,-58.25%,0.52,21.31,381,48.03%,28.80%,76.21%,15.02%,217.08,67.9,2.85,27.74%,1.68,99.38%,141.81%,99.38%,180.00%,81.66%,22.02%,20.57%,25.74%,16.50%,-58.25%,-42.06%,-38.86%,-16.68%,-15.20%,1.83,0.66,200,225,11,0.055
0592,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 69579031,TRUE,28.68%,-56.28%,0.51,19.55,454,44.05%,20.11%,64.02%,14.46%,197.01,56.89,1.81,26.69%,1.65,99.90%,146.99%,99.92%,161.72%,21.82%,6.80%,7.14%,20.63%,13.32%,-56.28%,-47.96%,-37.60%,-15.09%,-13.85%,1.9,0.61,175,225,11,0.055
0591,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 106192789,TRUE,30.75%,-57.95%,0.53,21.17,513,41.52%,19.11%,65.74%,13.99%,178.92,51.77,1.78,26.77%,1.72,100.47%,149.17%,100.48%,182.79%,54.23%,15.54%,10.41%,27.88%,17.81%,-57.95%,-42.87%,-36.45%,-16.30%,-14.26%,1.89,0.67,150,225,11,0.055
0590,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 44206562,TRUE,26.55%,-60.93%,0.44,23.67,311,50.48%,32.38%,84.67%,20.92%,257.71,91.93,2.13,28.87%,1.46,103.87%,148.94%,103.89%,183.74%,53.23%,15.29%,9.44%,23.91%,15.37%,-60.93%,-46.03%,-41.99%,-19.30%,-18.55%,1.38,0.53,250,200,11,0.055
0589,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 30577187,TRUE,24.68%,-58.35%,0.42,22.48,340,46.76%,23.52%,70.78%,17.99%,250.75,84.1,2.23,25.93%,1.5,100.70%,145.85%,100.71%,168.76%,41.92%,12.38%,9.99%,23.18%,14.91%,-58.35%,-49.01%,-44.40%,-17.84%,-16.52%,1.38,0.49,225,200,11,0.055
0588,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 132661923,TRUE,31.91%,-55.75%,0.57,22.66,360,47.22%,29.71%,81.04%,16.22%,234.55,73.44,2.15,26.84%,1.8,99.85%,141.57%,99.85%,174.40%,34.47%,10.38%,10.51%,27.51%,17.59%,-55.75%,-48.79%,-41.08%,-17.72%,-16.23%,1.8,0.66,200,200,11,0.055
0587,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 76661124,TRUE,29.16%,-62.25%,0.47,22.43,423,45.63%,21.55%,66.04%,15.77%,199.49,64.27,1.8,26.82%,1.65,99.87%,146.58%,99.89%,193.73%,-7.53%,-2.57%,9.57%,24.21%,15.55%,-62.25%,-46.89%,-40.48%,-16.93%,-14.96%,1.72,0.58,175,200,11,0.055
0586,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 200912079,TRUE,34.00%,-56.58%,0.6,23.17,491,42.97%,22.93%,72.16%,14.17%,183.22,53.16,1.87,27.54%,1.83,99.97%,143.04%,99.98%,181.54%,57.65%,16.38%,18.11%,30.30%,19.30%,-56.58%,-51.56%,-42.10%,-17.85%,-16.59%,1.9,0.68,150,200,11,0.055
0585,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 24258087,TRUE,23.68%,-65.01%,0.36,28.4,301,48.50%,31.17%,85.48%,19.99%,268.24,98.6,1.8,27.54%,1.39,102.00%,155.78%,102.03%,190.89%,42.23%,12.46%,-1.05%,14.49%,9.44%,-65.01%,-52.65%,-47.28%,-23.24%,-22.85%,1.02,0.43,250,175,11,0.055
0584,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 19291010,TRUE,22.48%,-66.81%,0.34,24.51,343,46.36%,21.05%,67.32%,18.93%,244.96,86.74,1.86,26.85%,1.36,101.39%,171.34%,101.43%,198.00%,-5.04%,-1.71%,8.25%,16.26%,10.57%,-66.81%,-54.31%,-43.11%,-19.04%,-16.59%,1.18,0.41,225,175,11,0.055
0583,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 52100575,TRUE,27.23%,-61.84%,0.44,22.47,362,44.20%,23.80%,74.81%,16.61%,231.36,76.88,2.06,26.35%,1.6,99.47%,135.16%,99.49%,175.10%,8.80%,2.85%,13.49%,22.59%,14.54%,-61.84%,-42.95%,-37.78%,-17.36%,-15.41%,1.57,0.57,200,175,11,0.055
0582,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 82550144,TRUE,29.50%,-57.95%,0.51,21.29,425,48.00%,21.02%,62.47%,17.24%,193.22,61.74,1.93,26.73%,1.68,100.23%,148.45%,100.27%,171.01%,15.59%,4.95%,13.23%,23.16%,14.90%,-57.95%,-48.30%,-39.04%,-16.36%,-14.51%,1.8,0.61,175,175,11,0.055
0581,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 131835668,TRUE,31.81%,-60.83%,0.52,24.04,504,47.02%,19.36%,58.28%,15.18%,166.03,53.18,2.04,27.40%,1.72,100.54%,143.47%,100.57%,191.47%,94.44%,24.81%,19.18%,27.98%,17.88%,-60.83%,-43.75%,-37.41%,-18.41%,-15.08%,1.73,0.67,150,175,11,0.055
0580,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 57370925,TRUE,27.83%,-64.79%,0.43,25.41,302,49.01%,34.37%,90.53%,19.61%,263.71,99.99,2.25,27.66%,1.55,101.11%,145.65%,101.14%,185.62%,70.63%,19.50%,7.86%,20.89%,13.48%,-64.79%,-49.68%,-42.52%,-20.18%,-18.73%,1.38,0.53,250,150,11,0.055
0579,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 45759258,TRUE,26.61%,-66.06%,0.4,25.79,335,48.06%,25.29%,73.21%,19.04%,244.24,87.87,2.2,27.15%,1.54,100.55%,152.56%,100.58%,183.70%,20.77%,6.49%,19.10%,26.47%,16.95%,-66.06%,-53.71%,-37.58%,-19.62%,-15.41%,1.36,0.51,225,150,11,0.055
0578,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 69507387,TRUE,28.66%,-69.05%,0.42,26.63,373,46.65%,24.01%,71.74%,17.74%,215.76,79.16,2.15,28.27%,1.57,99.90%,142.50%,99.92%,190.49%,23.72%,7.35%,15.23%,22.71%,14.62%,-69.05%,-48.29%,-39.69%,-20.52%,-18.93%,1.4,0.55,200,150,11,0.055
0577,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 79975048,TRUE,29.35%,-51.37%,0.57,19.83,429,47.55%,20.29%,61.95%,17.49%,188.6,65.68,2.38,26.74%,1.71,100.81%,139.72%,100.84%,153.28%,74.36%,20.36%,29.31%,27.49%,17.58%,-51.37%,-39.48%,-35.05%,-15.24%,-13.02%,1.93,0.7,175,150,11,0.055
0576,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 221800108,TRUE,34.48%,-54.74%,0.63,21.43,482,46.68%,23.05%,67.60%,15.96%,171.51,56.94,2.01,27.96%,1.83,100.74%,147.70%,100.76%,166.07%,66.75%,18.58%,26.39%,31.00%,19.72%,-54.74%,-48.91%,-43.24%,-16.37%,-13.56%,2.11,0.7,150,150,11,0.055
0575,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 54195986,TRUE,27.54%,-61.66%,0.45,21.59,311,46.62%,33.93%,94.02%,18.56%,275.94,87.92,2.36,27.66%,1.56,103.20%,154.10%,103.20%,203.43%,82.77%,22.26%,7.42%,18.99%,12.29%,-61.66%,-42.49%,-39.00%,-17.15%,-15.87%,1.61,0.58,250,250,10,0.055
0574,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 50795213,TRUE,27.13%,-56.66%,0.48,22.12,356,43.26%,29.46%,90.07%,16.74%,260.45,74.61,1.85,27.02%,1.57,102.64%,152.51%,102.64%,182.91%,31.09%,9.44%,1.58%,17.61%,11.42%,-56.66%,-41.50%,-41.19%,-17.50%,-15.94%,1.55,0.58,225,250,10,0.055
0573,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 48788527,TRUE,26.93%,-52.97%,0.51,18.9,381,44.88%,26.31%,77.51%,15.38%,225.72,66.77,2.07,26.56%,1.57,101.03%,152.41%,101.03%,179.78%,63.77%,17.87%,3.85%,18.44%,11.94%,-52.97%,-40.56%,-40.04%,-14.79%,-13.27%,1.82,0.6,200,250,10,0.055
0572,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 98853943,TRUE,30.42%,-45.12%,0.67,15.61,459,42.48%,23.06%,72.88%,13.74%,202,51.76,1.77,25.99%,1.76,100.14%,152.40%,100.15%,154.89%,22.69%,7.05%,13.61%,21.77%,14.03%,-45.12%,-43.55%,-41.82%,-11.78%,-9.60%,2.58,0.7,175,250,10,0.055
0571,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6721,AUD 120597627,TRUE,31.43%,-50.30%,0.62,18.07,522,40.42%,18.89%,66.14%,13.17%,180.15,49.39,1.86,25.98%,1.8,100.55%,143.10%,100.55%,165.99%,89.45%,23.74%,15.04%,25.22%,16.18%,-50.30%,-45.76%,-37.88%,-13.79%,-11.88%,2.28,0.7,150,250,10,0.055
0570,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 28059303,TRUE,24.35%,-66.53%,0.37,27.13,319,46.39%,28.84%,83.99%,18.90%,264.09,92.02,2.22,28.26%,1.39,102.86%,161.78%,102.88%,194.35%,92.65%,24.43%,6.10%,19.74%,12.76%,-66.53%,-50.93%,-46.49%,-21.74%,-19.40%,1.12,0.45,250,225,10,0.055
0569,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 48915935,TRUE,26.95%,-61.09%,0.44,18.71,354,45.76%,25.03%,74.39%,16.61%,245.83,79.88,2.15,26.80%,1.57,101.93%,146.95%,101.95%,172.46%,50.66%,14.64%,8.75%,19.92%,12.87%,-61.09%,-42.97%,-41.34%,-14.43%,-12.88%,1.87,0.56,225,225,10,0.055
0568,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 77891337,TRUE,29.24%,-59.83%,0.49,22.54,383,47.26%,27.54%,75.47%,15.41%,216.38,68.83,2.62,27.57%,1.63,99.67%,146.19%,99.68%,188.54%,85.27%,22.82%,15.59%,23.11%,14.87%,-59.83%,-40.19%,-38.67%,-17.87%,-16.81%,1.64,0.63,200,225,10,0.055
0567,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 25150784,TRUE,23.75%,-48.05%,0.49,17.15,459,42.92%,16.76%,58.92%,14.94%,195.35,56.15,1.51,24.95%,1.48,99.37%,145.07%,99.39%,157.68%,-10.15%,-3.50%,0.79%,15.73%,10.23%,-48.05%,-44.41%,-41.90%,-13.18%,-11.01%,1.8,0.53,175,225,10,0.055
0566,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 70355180,TRUE,28.70%,-58.20%,0.49,21.35,514,40.66%,17.99%,64.68%,14.01%,179.34,52.7,1.77,26.90%,1.62,100.81%,147.29%,100.82%,186.16%,53.33%,15.31%,10.07%,26.83%,17.17%,-58.20%,-44.78%,-37.30%,-16.54%,-14.24%,1.74,0.61,150,225,10,0.055
0565,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 59724931,TRUE,28.02%,-51.33%,0.55,19.03,304,52.63%,34.03%,83.10%,20.48%,258.67,91.64,2.95,28.06%,1.56,103.34%,148.94%,103.36%,177.75%,108.37%,27.73%,16.38%,27.78%,17.75%,-51.33%,-45.49%,-41.99%,-15.19%,-14.16%,1.85,0.61,250,200,10,0.055
0564,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 26802799,TRUE,24.05%,-61.58%,0.39,23.76,344,45.93%,22.71%,70.59%,17.96%,252.77,81.35,2.09,26.38%,1.45,101.00%,143.79%,101.01%,171.50%,38.49%,11.46%,9.25%,20.87%,13.47%,-61.58%,-50.06%,-44.45%,-18.84%,-17.54%,1.28,0.46,225,200,10,0.055
0563,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 119531736,TRUE,31.39%,-60.97%,0.51,24.22,360,46.94%,28.96%,80.01%,16.21%,234.78,74.1,2.41,26.98%,1.75,100.01%,142.17%,100.02%,184.36%,48.26%,14.03%,12.64%,28.73%,18.34%,-60.97%,-51.56%,-38.84%,-18.69%,-16.25%,1.68,0.62,200,200,10,0.055
0562,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 80927654,TRUE,29.43%,-61.72%,0.48,21.45,433,45.27%,20.97%,64.86%,15.33%,198.57,61.63,2.01,26.19%,1.68,100.40%,156.36%,100.42%,193.90%,12.53%,4.01%,15.94%,30.78%,19.59%,-61.72%,-36.20%,-36.13%,-16.04%,-13.37%,1.83,0.66,175,200,10,0.055
0561,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 167118817,TRUE,33.05%,-57.39%,0.58,23.08,492,43.09%,22.36%,70.77%,14.30%,182.46,53.37,1.9,27.35%,1.8,99.94%,144.25%,99.95%,185.55%,62.25%,17.51%,17.74%,29.38%,18.73%,-57.39%,-50.80%,-39.92%,-17.92%,-16.49%,1.84,0.67,150,200,10,0.055
0560,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 16003425,TRUE,21.72%,-63.27%,0.34,28.41,307,46.58%,28.49%,83.78%,19.72%,265.59,100.39,1.68,27.43%,1.31,102.33%,161.90%,102.36%,195.36%,22.40%,6.97%,-3.82%,12.13%,7.93%,-63.27%,-52.34%,-47.75%,-23.36%,-23.04%,0.93,0.4,250,175,10,0.055
0559,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 13633363,TRUE,20.86%,-66.80%,0.31,24.72,346,45.66%,19.39%,64.49%,18.51%,244.45,87.76,1.72,27.00%,1.28,101.69%,171.33%,101.73%,197.99%,-7.85%,-2.69%,4.47%,13.50%,8.81%,-66.80%,-54.98%,-41.35%,-19.49%,-18.42%,1.07,0.38,225,175,10,0.055
0558,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 48724661,TRUE,26.91%,-62.07%,0.43,23.55,360,45.00%,24.03%,73.76%,16.66%,230.94,76.13,2.16,25.72%,1.61,98.94%,135.56%,98.97%,176.21%,22.94%,7.13%,10.66%,21.12%,13.63%,-62.07%,-38.71%,-38.02%,-17.96%,-15.47%,1.5,0.58,200,175,10,0.055
