Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh
0021,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6721,AUD 31968153,TRUE,24.90%,-40.15%,0.62,14.52,494,45.75%,15.58%,46.86%,10.79%,175.88,47.88,1.99,18.28%,2.01,96.08%,124.88%,96.11%,129.71%,20.59%,6.44%,9.85%,16.68%,10.83%,-40.15%,-34.93%,-32.39%,-10.21%,-6.84%,2.44,0.69,150,250,8,0.035
0114,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 40025709,TRUE,25.98%,-41.93%,0.62,13.55,321,51.71%,25.60%,63.37%,14.86%,250.98,78.41,2.73,19.48%,2.02,97.95%,135.16%,97.98%,142.29%,50.81%,14.68%,12.15%,17.53%,11.37%,-41.93%,-32.89%,-30.46%,-9.80%,-7.04%,2.65,0.74,225,200,12,0.035
0055,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 70147682,TRUE,28.83%,-46.62%,0.62,15.74,285,54.39%,38.61%,85.23%,16.97%,273.26,89.84,2.54,21.35%,2.02,99.54%,135.26%,99.58%,142.73%,55.97%,15.97%,11.53%,14.04%,9.15%,-46.62%,-33.86%,-32.67%,-11.19%,-7.80%,2.58,0.76,250,150,10,0.035
0070,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 35902910,TRUE,25.53%,-41.34%,0.62,13.38,284,51.41%,29.81%,72.23%,15.06%,285.25,86.57,3.05,18.83%,2.03,97.91%,133.89%,97.92%,148.57%,64.38%,18.02%,16.26%,21.00%,13.55%,-41.34%,-33.20%,-32.80%,-9.41%,-6.06%,2.71,0.71,250,225,10,0.035
0098,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 22003687,TRUE,23.11%,-37.62%,0.61,13.29,373,50.40%,19.27%,50.82%,12.79%,219.04,60.47,2.94,17.70%,1.94,96.30%,126.54%,96.32%,138.55%,76.75%,20.91%,16.37%,17.89%,11.60%,-37.62%,-33.02%,-30.05%,-9.65%,-6.67%,2.39,0.69,200,250,11,0.035
0108,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 34166238,TRUE,25.19%,-41.29%,0.61,12.51,340,52.35%,22.99%,56.51%,13.85%,230.32,69.36,2.55,18.15%,2.06,97.18%,132.15%,97.22%,147.59%,59.37%,16.81%,14.66%,13.45%,8.78%,-41.29%,-28.83%,-27.53%,-8.92%,-6.47%,2.82,0.77,200,175,12,0.035
0073,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 23203176,TRUE,23.36%,-38.37%,0.61,13.13,371,50.94%,19.62%,50.85%,12.81%,218.87,60.19,2.83,17.78%,1.96,96.21%,126.54%,96.23%,138.55%,66.82%,18.60%,16.82%,17.69%,11.47%,-38.37%,-31.66%,-31.49%,-9.58%,-6.92%,2.44,0.69,200,250,10,0.035
0063,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 44113800,TRUE,26.45%,-43.45%,0.61,14.97,351,51.00%,24.37%,60.19%,12.90%,223.06,71.08,2.55,18.84%,2.08,96.35%,139.24%,96.39%,145.00%,59.65%,16.88%,11.08%,15.38%,10.01%,-43.45%,-34.85%,-33.01%,-10.70%,-7.20%,2.47,0.71,200,200,10,0.035
0123,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 25300749,TRUE,23.77%,-39.24%,0.61,13.93,363,51.79%,20.57%,51.52%,12.67%,221.1,61.71,3.08,17.33%,2.04,95.37%,126.87%,95.40%,138.92%,82.25%,22.15%,20.80%,19.07%,12.34%,-39.24%,-36.66%,-29.16%,-10.02%,-7.12%,2.37,0.68,200,250,12,0.035
0005,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 44118609,TRUE,26.55%,-44.84%,0.59,15.98,282,52.13%,37.24%,86.83%,16.77%,276.01,93.7,2.77,20.97%,1.92,97.88%,131.79%,97.91%,139.09%,45.05%,13.20%,10.35%,16.06%,10.44%,-44.84%,-33.23%,-32.50%,-11.50%,-7.81%,2.31,0.72,250,150,8,0.035
0028,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 41598697,TRUE,26.15%,-44.80%,0.58,13.55,349,53.58%,23.26%,55.83%,14.33%,219.41,73.12,2.8,19.18%,2.01,97.32%,130.49%,97.37%,137.08%,76.24%,20.79%,16.61%,16.80%,10.91%,-44.80%,-30.08%,-29.07%,-9.56%,-6.37%,2.74,0.75,200,150,9,0.035
0033,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 23239157,TRUE,23.35%,-40.62%,0.57,14.27,355,51.27%,20.40%,52.31%,13.17%,221.53,68.88,2.5,18.34%,1.92,96.99%,127.19%,97.04%,142.53%,51.43%,14.83%,12.41%,14.55%,9.48%,-40.62%,-35.11%,-27.83%,-10.44%,-7.55%,2.24,0.68,200,175,9,0.035
